Modal,Potensi_Pasar,Lokasi,Persaingan,Tren_Usaha,Jenis_Usaha,Jenis_Usaha_Spesifik,id_mapping,skenario_ke
14100000,3,3,1,2,Kuliner,Warung makan,1,1
22600000,3,2,3,2,Kuliner,Warung makan,1,2
13400000,3,2,2,3,Kuliner,Warung makan,1,3
10200000,3,3,2,3,Kuliner,Warung makan,1,4
22500000,3,2,2,3,Kuliner,Warung makan,1,5
13900000,2,2,2,3,Kuliner,Warung makan,1,6
41000000,3,3,3,2,Kuliner,Warung makan,1,7
39600000,3,3,3,2,Kuliner,Warung makan,1,8
59600000,2,3,2,3,Kuliner,Warung makan,1,9
91100000,3,3,3,3,Kuliner,Warung makan,1,10
15900000,3,3,2,1,Kuliner,Warung makan,1,11
11900000,3,3,2,3,Kuliner,Warung makan,1,12
66200000,3,3,2,2,Kuliner,Warung makan,1,13
14100000,3,2,1,2,Kuliner,Warung makan,1,14
12600000,2,2,2,3,Kuliner,Warung makan,1,15
10400000,3,3,2,3,Kuliner,Warung makan,1,16
15600000,2,3,2,3,Kuliner,Warung makan,1,17
15400000,2,3,3,3,Kuliner,Warung makan,1,18
9500000,2,3,3,3,Kuliner,Warung makan,1,19
70500000,2,2,2,2,Kuliner,Warung makan,1,20
2100000,2,2,2,3,Kuliner,Jualan gorengan,2,1
2000000,3,3,2,3,Kuliner,Jualan gorengan,2,2
135200000,3,3,3,3,Kuliner,Jualan gorengan,2,3
14100000,3,3,3,3,Kuliner,Jualan gorengan,2,4
3600000,2,3,2,3,Kuliner,Jualan gorengan,2,5
3700000,3,1,2,3,Kuliner,Jualan gorengan,2,6
4300000,3,3,2,2,Kuliner,Jualan gorengan,2,7
8900000,3,3,1,1,Kuliner,Jualan gorengan,2,8
11800000,2,3,1,1,Kuliner,Jualan gorengan,2,9
5400000,3,1,2,3,Kuliner,Jualan gorengan,2,10
4800000,3,3,3,3,Kuliner,Jualan gorengan,2,11
21500000,3,3,2,3,Kuliner,Jualan gorengan,2,12
5300000,3,1,3,3,Kuliner,Jualan gorengan,2,13
5000000,3,2,2,3,Kuliner,Jualan gorengan,2,14
8500000,3,1,3,3,Kuliner,Jualan gorengan,2,15
10500000,3,3,2,3,Kuliner,Jualan gorengan,2,16
63100000,3,2,2,3,Kuliner,Jualan gorengan,2,17
2300000,3,3,2,3,Kuliner,Jualan gorengan,2,18
14600000,2,2,2,3,Kuliner,Jualan gorengan,2,19
5000000,3,3,3,3,Kuliner,Jualan gorengan,2,20
11400000,3,3,3,1,Kuliner,Kedai kopi,3,1
138500000,3,3,3,3,Kuliner,Kedai kopi,3,2
41400000,3,1,2,3,Kuliner,Kedai kopi,3,3
19800000,3,1,2,3,Kuliner,Kedai kopi,3,4
11800000,3,2,2,3,Kuliner,Kedai kopi,3,5
186000000,1,3,2,3,Kuliner,Kedai kopi,3,6
11300000,2,3,3,3,Kuliner,Kedai kopi,3,7
7600000,3,3,2,2,Kuliner,Kedai kopi,3,8
12900000,3,3,2,3,Kuliner,Kedai kopi,3,9
13100000,3,3,2,2,Kuliner,Kedai kopi,3,10
6200000,3,2,2,3,Kuliner,Kedai kopi,3,11
11700000,3,2,3,3,Kuliner,Kedai kopi,3,12
14300000,1,3,1,3,Kuliner,Kedai kopi,3,13
53300000,3,2,3,3,Kuliner,Kedai kopi,3,14
5600000,2,3,2,2,Kuliner,Kedai kopi,3,15
13100000,3,2,2,3,Kuliner,Kedai kopi,3,16
137300000,3,3,1,3,Kuliner,Kedai kopi,3,17
51600000,3,3,3,3,Kuliner,Kedai kopi,3,18
5900000,3,2,2,3,Kuliner,Kedai kopi,3,19
178700000,3,3,2,3,Kuliner,Kedai kopi,3,20
192200000,2,3,1,2,Kuliner,Minuman kekinian,4,1
7700000,2,3,3,2,Kuliner,Minuman kekinian,4,2
25200000,3,3,2,1,Kuliner,Minuman kekinian,4,3
8500000,2,3,2,3,Kuliner,Minuman kekinian,4,4
11500000,3,3,1,3,Kuliner,Minuman kekinian,4,5
8000000,2,3,2,2,Kuliner,Minuman kekinian,4,6
172500000,3,2,3,3,Kuliner,Minuman kekinian,4,7
10100000,3,2,2,3,Kuliner,Minuman kekinian,4,8
5200000,2,3,2,3,Kuliner,Minuman kekinian,4,9
5700000,2,3,2,1,Kuliner,Minuman kekinian,4,10
24500000,3,3,2,3,Kuliner,Minuman kekinian,4,11
9000000,3,3,2,3,Kuliner,Minuman kekinian,4,12
15200000,3,2,3,3,Kuliner,Minuman kekinian,4,13
82700000,2,2,2,3,Kuliner,Minuman kekinian,4,14
10700000,2,2,3,3,Kuliner,Minuman kekinian,4,15
30300000,3,3,2,3,Kuliner,Minuman kekinian,4,16
5500000,3,2,1,2,Kuliner,Minuman kekinian,4,17
44800000,3,3,3,3,Kuliner,Minuman kekinian,4,18
7200000,2,2,1,3,Kuliner,Minuman kekinian,4,19
5400000,2,2,2,3,Kuliner,Minuman kekinian,4,20
80300000,2,2,3,2,Kuliner,Bakery / kue,5,1
29100000,1,2,2,3,Kuliner,Bakery / kue,5,2
68900000,3,2,2,3,Kuliner,Bakery / kue,5,3
41600000,2,1,2,1,Kuliner,Bakery / kue,5,4
14400000,1,1,2,2,Kuliner,Bakery / kue,5,5
15100000,3,2,2,3,Kuliner,Bakery / kue,5,6
34400000,3,2,3,3,Kuliner,Bakery / kue,5,7
26100000,3,2,2,3,Kuliner,Bakery / kue,5,8
39500000,3,1,3,3,Kuliner,Bakery / kue,5,9
15300000,3,3,1,1,Kuliner,Bakery / kue,5,10
10400000,3,1,2,2,Kuliner,Bakery / kue,5,11
12500000,3,2,2,3,Kuliner,Bakery / kue,5,12
10600000,3,1,2,3,Kuliner,Bakery / kue,5,13
24700000,2,2,2,1,Kuliner,Bakery / kue,5,14
130800000,3,2,1,3,Kuliner,Bakery / kue,5,15
123700000,3,2,3,3,Kuliner,Bakery / kue,5,16
103000000,3,3,2,2,Kuliner,Bakery / kue,5,17
79200000,1,2,3,2,Kuliner,Bakery / kue,5,18
68700000,2,3,2,3,Kuliner,Bakery / kue,5,19
164100000,3,2,3,3,Kuliner,Bakery / kue,5,20
24200000,3,1,2,2,Kuliner,Catering,6,1
27900000,2,3,2,3,Kuliner,Catering,6,2
22700000,3,2,2,3,Kuliner,Catering,6,3
9600000,2,1,1,3,Kuliner,Catering,6,4
106700000,3,3,3,3,Kuliner,Catering,6,5
18900000,2,2,2,3,Kuliner,Catering,6,6
85800000,3,2,3,1,Kuliner,Catering,6,7
144000000,3,1,3,1,Kuliner,Catering,6,8
23400000,3,3,2,2,Kuliner,Catering,6,9
56900000,2,3,1,3,Kuliner,Catering,6,10
26000000,2,3,2,2,Kuliner,Catering,6,11
8700000,3,3,3,3,Kuliner,Catering,6,12
42200000,3,3,3,3,Kuliner,Catering,6,13
22200000,2,2,3,3,Kuliner,Catering,6,14
11100000,3,2,1,2,Kuliner,Catering,6,15
92200000,3,2,3,3,Kuliner,Catering,6,16
17200000,3,2,2,3,Kuliner,Catering,6,17
19900000,1,2,3,3,Kuliner,Catering,6,18
53100000,3,2,3,1,Kuliner,Catering,6,19
47600000,3,3,2,1,Kuliner,Catering,6,20
19300000,3,2,1,3,Kuliner,Nasi kuning,7,1
4000000,3,3,2,3,Kuliner,Nasi kuning,7,2
6600000,3,3,1,3,Kuliner,Nasi kuning,7,3
6500000,1,3,2,2,Kuliner,Nasi kuning,7,4
9500000,1,3,2,3,Kuliner,Nasi kuning,7,5
5200000,3,1,2,3,Kuliner,Nasi kuning,7,6
4800000,1,3,2,3,Kuliner,Nasi kuning,7,7
51600000,1,2,2,3,Kuliner,Nasi kuning,7,8
21000000,3,3,2,3,Kuliner,Nasi kuning,7,9
19000000,2,1,1,3,Kuliner,Nasi kuning,7,10
44500000,3,1,3,3,Kuliner,Nasi kuning,7,11
33900000,1,3,2,3,Kuliner,Nasi kuning,7,12
15900000,3,2,2,3,Kuliner,Nasi kuning,7,13
4800000,3,3,2,3,Kuliner,Nasi kuning,7,14
58600000,3,2,1,2,Kuliner,Nasi kuning,7,15
26700000,2,3,2,3,Kuliner,Nasi kuning,7,16
19200000,3,2,1,3,Kuliner,Nasi kuning,7,17
4200000,1,3,3,1,Kuliner,Nasi kuning,7,18
42700000,1,2,2,3,Kuliner,Nasi kuning,7,19
6400000,2,2,3,2,Kuliner,Nasi kuning,7,20
48000000,2,2,3,3,Kuliner,Nasi uduk,8,1
4800000,2,3,2,2,Kuliner,Nasi uduk,8,2
38300000,3,3,2,3,Kuliner,Nasi uduk,8,3
5100000,3,3,1,3,Kuliner,Nasi uduk,8,4
166400000,3,3,2,2,Kuliner,Nasi uduk,8,5
6700000,3,3,2,3,Kuliner,Nasi uduk,8,6
5700000,3,2,3,3,Kuliner,Nasi uduk,8,7
95600000,2,3,2,2,Kuliner,Nasi uduk,8,8
16900000,1,2,2,2,Kuliner,Nasi uduk,8,9
8900000,1,2,2,3,Kuliner,Nasi uduk,8,10
4100000,2,3,3,2,Kuliner,Nasi uduk,8,11
3900000,2,2,3,3,Kuliner,Nasi uduk,8,12
3400000,3,3,2,3,Kuliner,Nasi uduk,8,13
3500000,1,3,1,3,Kuliner,Nasi uduk,8,14
110400000,2,1,2,3,Kuliner,Nasi uduk,8,15
9900000,3,3,1,3,Kuliner,Nasi uduk,8,16
3800000,3,3,3,3,Kuliner,Nasi uduk,8,17
61100000,3,2,2,3,Kuliner,Nasi uduk,8,18
3100000,1,2,2,1,Kuliner,Nasi uduk,8,19
9500000,3,3,2,2,Kuliner,Nasi uduk,8,20
10800000,2,3,2,1,Kuliner,Usaha jus / es buah,9,1
4900000,2,3,2,3,Kuliner,Usaha jus / es buah,9,2
5300000,2,3,3,1,Kuliner,Usaha jus / es buah,9,3
22900000,2,3,1,3,Kuliner,Usaha jus / es buah,9,4
3100000,3,2,2,3,Kuliner,Usaha jus / es buah,9,5
7800000,3,3,2,2,Kuliner,Usaha jus / es buah,9,6
11400000,3,2,1,3,Kuliner,Usaha jus / es buah,9,7
100900000,2,3,3,2,Kuliner,Usaha jus / es buah,9,8
15900000,3,3,3,3,Kuliner,Usaha jus / es buah,9,9
41300000,1,3,2,3,Kuliner,Usaha jus / es buah,9,10
5600000,2,3,1,2,Kuliner,Usaha jus / es buah,9,11
