Modal,Potensi_Pasar,Lokasi,Persaingan,Tren_Usaha,Jenis_Usaha
13800000,2,2,1,3,Jasa
6000000,1,1,1,2,Pertanian/Peternakan
17300000,3,3,2,2,Perdagangan
9600000,2,2,2,2,Produksi
37900000,1,1,2,2,Pertanian/Peternakan
13700000,2,2,1,2,Jasa
3700000,3,3,3,2,Perdagangan
100500000,1,1,1,1,Pertanian/Peternakan
26300000,3,2,3,1,Perdagangan
13100000,3,3,2,3,Kuliner
28900000,1,1,1,1,Pertanian/Peternakan
15400000,3,1,3,3,Kuliner
9500000,2,1,2,2,Produksi
16300000,2,1,2,1,Produksi
29700000,1,1,1,1,Pertanian/Peternakan
9200000,1,1,1,2,Pertanian/Peternakan
39100000,3,3,3,2,Perdagangan
33400000,3,1,1,2,Pertanian/Peternakan
24100000,3,3,3,2,Perdagangan
6900000,3,3,2,2,Kuliner
6000000,2,1,2,2,Produksi
110700000,2,2,1,3,Jasa
8800000,2,1,2,3,Produksi
25900000,1,1,3,1,Pertanian/Peternakan
9800000,1,1,1,1,Pertanian/Peternakan
25900000,1,1,3,1,Pertanian/Peternakan
40600000,3,3,1,2,Perdagangan
9800000,3,3,2,3,Kuliner
31500000,2,2,1,3,Jasa
6300000,3,3,2,2,Kuliner
17300000,3,3,3,1,Perdagangan
7500000,3,3,3,3,Kuliner
4300000,2,2,3,3,Jasa
3100000,2,3,2,2,Kuliner
29200000,1,1,1,1,Pertanian/Peternakan
101600000,2,2,1,3,Jasa
18000000,3,3,1,3,Kuliner
13700000,3,3,3,2,Perdagangan
39700000,2,2,1,3,Jasa
39700000,1,1,1,1,Pertanian/Peternakan
18600000,2,1,2,2,Produksi
8200000,2,1,2,2,Produksi
28800000,1,1,1,2,Pertanian/Peternakan
26600000,2,1,1,2,Produksi
22200000,2,1,2,2,Produksi
27500000,3,3,3,2,Perdagangan
9700000,3,2,2,3,Kuliner
28200000,2,1,3,2,Perdagangan
6400000,3,3,3,2,Perdagangan
14900000,3,2,2,3,Kuliner
15200000,2,1,2,2,Produksi
71300000,3,3,3,2,Perdagangan
14800000,3,3,2,3,Kuliner
28600000,2,1,2,2,Produksi
34700000,2,2,1,3,Jasa
5200000,3,3,2,3,Kuliner
9000000,2,1,1,3,Jasa
13200000,2,1,2,2,Produksi
19900000,2,1,2,2,Produksi
7600000,2,2,2,2,Produksi
9400000,2,1,2,2,Produksi
20600000,1,1,1,1,Pertanian/Peternakan
84600000,3,3,3,2,Perdagangan
15100000,3,3,1,3,Kuliner
25100000,3,3,2,3,Kuliner
9500000,2,1,1,2,Produksi
6800000,2,1,2,2,Produksi
17700000,2,1,2,2,Produksi
3500000,2,1,1,3,Jasa
38200000,2,2,1,3,Jasa
3900000,3,3,2,3,Kuliner
4100000,3,1,2,3,Kuliner
25000000,3,2,3,2,Perdagangan
15200000,2,1,2,2,Produksi
14800000,2,2,1,3,Jasa
136900000,1,1,1,1,Pertanian/Peternakan
9300000,2,2,1,3,Jasa
14300000,2,1,2,1,Produksi
20500000,2,2,3,3,Jasa
12300000,2,2,1,3,Jasa
14600000,3,3,2,3,Kuliner
9100000,2,2,2,3,Jasa
82800000,1,1,1,1,Pertanian/Peternakan
28600000,3,3,2,2,Perdagangan
8400000,2,2,2,3,Jasa
2600000,3,3,2,2,Kuliner
18300000,2,1,2,2,Produksi
