Modal,Potensi_Pasar,Lokasi,Persaingan,Tren_Usaha,Jenis_Usaha
14100000,3,3,1,2,Kuliner
22600000,3,2,3,2,Kuliner
13400000,3,2,2,3,Kuliner
10200000,3,3,2,3,Kuliner
22500000,3,2,2,3,Kuliner
13900000,2,2,2,3,Kuliner
41000000,3,3,3,2,Kuliner
39600000,3,3,3,2,Kuliner
59600000,2,3,2,3,Kuliner
91100000,3,3,3,3,Kuliner
15900000,3,3,2,1,Kuliner
11900000,3,3,2,3,Kuliner
66200000,3,3,2,2,Kuliner
14100000,3,2,1,2,Kuliner
12600000,2,2,2,3,Kuliner
10400000,3,3,2,3,Kuliner
15600000,2,3,2,3,Kuliner
15400000,2,3,3,3,Kuliner
9500000,2,3,3,3,Kuliner
70500000,2,2,2,2,Kuliner
2100000,2,2,2,3,Kuliner
2000000,3,3,2,3,Kuliner
135200000,3,3,3,3,Kuliner
14100000,3,3,3,3,Kuliner
3600000,2,3,2,3,Kuliner
3700000,3,1,2,3,Kuliner
4300000,3,3,2,2,Kuliner
8900000,3,3,1,1,Kuliner
11800000,2,3,1,1,Kuliner
5400000,3,1,2,3,Kuliner
4800000,3,3,3,3,Kuliner
21500000,3,3,2,3,Kuliner
5300000,3,1,3,3,Kuliner
5000000,3,2,2,3,Kuliner
8500000,3,1,3,3,Kuliner
10500000,3,3,2,3,Kuliner
63100000,3,2,2,3,Kuliner
2300000,3,3,2,3,Kuliner
14600000,2,2,2,3,Kuliner
5000000,3,3,3,3,Kuliner
11400000,3,3,3,1,Kuliner
138500000,3,3,3,3,Kuliner
41400000,3,1,2,3,Kuliner
19800000,3,1,2,3,Kuliner
11800000,3,2,2,3,Kuliner
186000000,1,3,2,3,Kuliner
11300000,2,3,3,3,Kuliner
7600000,3,3,2,2,Kuliner
12900000,3,3,2,3,Kuliner
13100000,3,3,2,2,Kuliner
6200000,3,2,2,3,Kuliner
11700000,3,2,3,3,Kuliner
14300000,1,3,1,3,Kuliner
53300000,3,2,3,3,Kuliner
5600000,2,3,2,2,Kuliner
13100000,3,2,2,3,Kuliner
137300000,3,3,1,3,Kuliner
51600000,3,3,3,3,Kuliner
5900000,3,2,2,3,Kuliner
178700000,3,3,2,3,Kuliner
192200000,2,3,1,2,Kuliner
7700000,2,3,3,2,Kuliner
25200000,3,3,2,1,Kuliner
8500000,2,3,2,3,Kuliner
11500000,3,3,1,3,Kuliner
8000000,2,3,2,2,Kuliner
172500000,3,2,3,3,Kuliner
10100000,3,2,2,3,Kuliner
5200000,2,3,2,3,Kuliner
5700000,2,3,2,1,Kuliner
24500000,3,3,2,3,Kuliner
9000000,3,3,2,3,Kuliner
15200000,3,2,3,3,Kuliner
82700000,2,2,2,3,Kuliner
10700000,2,2,3,3,Kuliner
30300000,3,3,2,3,Kuliner
5500000,3,2,1,2,Kuliner
44800000,3,3,3,3,Kuliner
7200000,2,2,1,3,Kuliner
5400000,2,2,2,3,Kuliner
80300000,2,2,3,2,Kuliner
29100000,1,2,2,3,Kuliner
68900000,3,2,2,3,Kuliner
41600000,2,1,2,1,Kuliner
14400000,1,1,2,2,Kuliner
15100000,3,2,2,3,Kuliner
34400000,3,2,3,3,Kuliner
26100000,3,2,2,3,Kuliner
39500000,3,1,3,3,Kuliner
15300000,3,3,1,1,Kuliner
10400000,3,1,2,2,Kuliner
12500000,3,2,2,3,Kuliner
10600000,3,1,2,3,Kuliner
24700000,2,2,2,1,Kuliner
130800000,3,2,1,3,Kuliner
123700000,3,2,3,3,Kuliner
103000000,3,3,2,2,Kuliner
79200000,1,2,3,2,Kuliner
68700000,2,3,2,3,Kuliner
164100000,3,2,3,3,Kuliner
24200000,3,1,2,2,Kuliner
27900000,2,3,2,3,Kuliner
22700000,3,2,2,3,Kuliner
9600000,2,1,1,3,Kuliner
106700000,3,3,3,3,Kuliner
18900000,2,2,2,3,Kuliner
85800000,3,2,3,1,Kuliner
144000000,3,1,3,1,Kuliner
23400000,3,3,2,2,Kuliner
56900000,2,3,1,3,Kuliner
26000000,2,3,2,2,Kuliner
8700000,3,3,3,3,Kuliner
42200000,3,3,3,3,Kuliner
22200000,2,2,3,3,Kuliner
11100000,3,2,1,2,Kuliner
92200000,3,2,3,3,Kuliner
17200000,3,2,2,3,Kuliner
19900000,1,2,3,3,Kuliner
53100000,3,2,3,1,Kuliner
47600000,3,3,2,1,Kuliner
19300000,3,2,1,3,Kuliner
4000000,3,3,2,3,Kuliner
6600000,3,3,1,3,Kuliner
6500000,1,3,2,2,Kuliner
9500000,1,3,2,3,Kuliner
5200000,3,1,2,3,Kuliner
4800000,1,3,2,3,Kuliner
51600000,1,2,2,3,Kuliner
21000000,3,3,2,3,Kuliner
19000000,2,1,1,3,Kuliner
44500000,3,1,3,3,Kuliner
33900000,1,3,2,3,Kuliner
15900000,3,2,2,3,Kuliner
4800000,3,3,2,3,Kuliner
58600000,3,2,1,2,Kuliner
26700000,2,3,2,3,Kuliner
19200000,3,2,1,3,Kuliner
4200000,1,3,3,1,Kuliner
42700000,1,2,2,3,Kuliner
6400000,2,2,3,2,Kuliner
48000000,2,2,3,3,Kuliner
4800000,2,3,2,2,Kuliner
38300000,3,3,2,3,Kuliner
5100000,3,3,1,3,Kuliner
166400000,3,3,2,2,Kuliner
6700000,3,3,2,3,Kuliner
5700000,3,2,3,3,Kuliner
95600000,2,3,2,2,Kuliner
16900000,1,2,2,2,Kuliner
8900000,1,2,2,3,Kuliner
4100000,2,3,3,2,Kuliner
3900000,2,2,3,3,Kuliner
3400000,3,3,2,3,Kuliner
3500000,1,3,1,3,Kuliner
110400000,2,1,2,3,Kuliner
9900000,3,3,1,3,Kuliner
3800000,3,3,3,3,Kuliner
61100000,3,2,2,3,Kuliner
3100000,1,2,2,1,Kuliner
9500000,3,3,2,2,Kuliner
10800000,2,3,2,1,Kuliner
4900000,2,3,2,3,Kuliner
5300000,2,3,3,1,Kuliner
22900000,2,3,1,3,Kuliner
3100000,3,2,2,3,Kuliner
7800000,3,3,2,2,Kuliner
11400000,3,2,1,3,Kuliner
100900000,2,3,3,2,Kuliner
15900000,3,3,3,3,Kuliner
41300000,1,3,2,3,Kuliner
5600000,2,3,1,2,Kuliner
46600000,3,3,2,2,Kuliner
6500000,3,3,3,3,Kuliner
49100000,3,3,2,3,Kuliner
5000000,3,2,3,3,Kuliner
9300000,3,3,3,1,Kuliner
8000000,3,3,3,3,Kuliner
6600000,3,2,2,2,Kuliner
7100000,2,3,2,3,Kuliner
159900000,2,3,2,3,Kuliner
23600000,2,2,1,3,Kuliner
20000000,3,3,3,3,Kuliner
81300000,3,2,2,3,Kuliner
10300000,2,2,1,3,Kuliner
5400000,2,3,2,1,Kuliner
8900000,2,3,1,3,Kuliner
120600000,2,2,3,3,Kuliner
9800000,3,3,2,1,Kuliner
14600000,3,3,1,3,Kuliner
5400000,3,2,1,3,Kuliner
12400000,3,2,2,3,Kuliner
